Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-September-2020,2.97,2.97,2.84,2.84,2.851723149349669553,1325480,427,3779902.00,1082729,81.69,0.13,-0.13
1-September-2020,3.08,3.16,2.93,2.98,2.996219640812579711,1594822,705,4778437.00,1022180,64.09,0.23,-0.10
31-August-2020,3.33,3.41,3.08,3.08,3.168594871716592230,2358411,874,7472849.00,1712351,72.61,0.33,-0.25
28-August-2020,3.62,3.65,3.40,3.42,3.478196888781054163,1900027,2055,6608668.00,1433478,75.45,0.25,-0.20
27-August-2020,3.74,3.74,3.54,3.57,3.603629457022373537,2144453,1226,7727814.00,1400732,65.32,0.20,-0.17
26-August-2020,3.62,3.89,3.62,3.74,3.774496676620749446,2076200,1147,7836610.00,1422912,68.53,0.27,0.12
25-August-2020,3.94,4.05,3.75,3.78,3.846524869725589551,2370573,828,9118468.00,1420371,59.92,0.30,-0.16
24-August-2020,4.00,4.09,3.88,3.92,3.947434516981102971,2982109,761,11771680.00,1733351,58.12,0.21,-0.08
21-August-2020,4.20,4.30,3.99,4.02,4.079909479799248864,3271314,952,13346665.00,2123229,64.90,0.31,-0.18
20-August-2020,3.94,4.25,3.64,4.10,4.066153897021070318,7319206,3091,29761018.00,4150145,56.70,0.61,0.16
19-August-2020,4.20,4.20,3.81,3.91,3.936600714507756642,5121288,1379,20160466.00,2390205,46.67,0.39,-0.29
18-August-2020,4.24,4.48,3.89,4.07,4.250410198300426097,7934577,3927,33725207.00,4747815,59.84,0.59,-0.17
17-August-2020,3.72,4.08,3.63,4.08,3.956832891842682629,5385165,2256,21308198.00,3789143,70.36,0.45,0.36
14-August-2020,3.45,3.76,3.29,3.71,3.680847454671416319,6307830,2550,23218160.00,4029718,63.88,0.47,0.26
13-August-2020,3.75,3.90,3.40,3.42,3.489519429734896392,2411510,1048,8415011.00,1644309,68.19,0.50,-0.33
12-August-2020,3.85,3.86,3.30,3.69,3.441543166197324443,6058479,2931,20850517.00,3183994,52.55,0.56,-0.16
11-August-2020,3.54,3.66,3.50,3.66,3.636213959263368751,4861374,1529,17676996.00,2863616,58.91,0.16,0.12
10-August-2020,3.19,3.33,3.09,3.33,3.288168743827357676,7231506,1752,23778412.00,4447495,61.50,0.24,0.14
7-August-2020,2.40,2.78,2.39,2.78,2.721566639525268430,3156310,1091,8590108.00,2163476,68.54,0.39,0.38
6-August-2020,2.48,2.48,2.29,2.32,2.349433957554097514,1922824,546,4517548.00,1270291,66.06,0.19,-0.16
